Id;Mots;Mots_sans_lastharaKa;Mots_sans_harakat;orientation;force;Score
29781;مُهْتَمٌّ;مُهْتَمّ;مهتم;Positive;Median;2.0
29782;مَهْمُومٌ;مَهْمُوم;مهموم;Negative;High;-3.0
29783;هَمَّ;هَمّ;هم;Positive;Median;2.0
29784;هَمَّامٌ;هَمَّام;همام;Positive;High;3.0
29785;اِسْتَهْنَأَ;اِسْتَهْنَأ;استهنأ;Positive;High;3.0
29786;اسْتِهْنَاءٌ;اسْتِهْنَاء;استهناء;Positive;Median;2.0
29787;اسْتِهْنَاءَةٌ;اسْتِهْنَاءَة;استهناءة;Positive;Low;1.0
29788;مُسْتَهْنَأٌ;مُسْتَهْنَأ;مستهنأ;Positive;Median;2.0
29789;مُسْتَهْنَأٌ;مُسْتَهْنَأ;مستهنأ;Positive;Median;2.0
29790;مُسْتَهْنِئٌ;مُسْتَهْنِئ;مستهنئ;Positive;Median;2.0
29791;مُهَنْدَسٌ;مُهَنْدَس;مهندس;Positive;Median;2.0
29792;مُهَنْدَسٌ;مُهَنْدَس;مهندس;Positive;Median;2.0
29793;مُهَنْدِسٌ;مُهَنْدِس;مهندس;Positive;High;3.0
29794;هَنْدَسَ;هَنْدَس;هندس;Positive;High;3.0
29795;هَنْدَسَةٌ;هَنْدَسَة;هندسة;Neutre;Median;0.0
29796;هَنْدَسَةٌ;هَنْدَسَة;هندسة;Neutre;Median;0.0
29797;تَهَوَّدَ;تَهَوَّد;تهود;Negative;Median;-2.0
29798;تَهَوُّدٌ;تَهَوُّد;تهود;Positive;Low;1.0
29799;تَهَوُّدَةٌ;تَهَوُّدَة;تهودة;Negative;Low;-1.0
29800;تَهْوِيدٌ;تَهْوِيد;تهويد;Positive;Median;2.0
29801;تَهْوِيدَةٌ;تَهْوِيدَة;تهويدة;Negative;Low;-1.0
29802;مُتَهَوَّدٌ;مُتَهَوَّد;متهود;Negative;Median;-2.0
29803;مُتَهَوَّدٌ;مُتَهَوَّد;متهود;Negative;Median;-2.0
29804;مُتَهَوِّدٌ;مُتَهَوِّد;متهود;Negative;High;-3.0
29805;مَهَادٌ;مَهَاد;مهاد;Neutre;Median;0.0
29806;مُهَاوَدٌ;مُهَاوَد;مهاود;Positive;Median;2.0
29807;مُهَاوَدٌ;مُهَاوَد;مهاود;Positive;Median;2.0
29808;مُهَاوِدٌ;مُهَاوِد;مهاود;Positive;High;3.0
29809;مُهَاوَدَةٌ;مُهَاوَدَة;مهاودة;Positive;Low;1.0
29810;مُهَاوَدَةٌ;مُهَاوَدَة;مهاودة;Positive;Low;1.0
29811;مَهُودٌ;مَهُود;مهود;Positive;Low;1.0
29812;مُهَوَّدٌ;مُهَوَّد;مهود;Negative;Median;-2.0
29813;مُهَوَّدٌ;مُهَوَّد;مهود;Negative;Median;-2.0
29814;مُهَوِّدٌ;مُهَوِّد;مهود;Negative;High;-3.0
29815;هَائِدٌ;هَائِد;هائد;Positive;Median;2.0
29816;هَادَ;هَاد;هاد;Positive;Low;1.0
29817;هَاوَدَ;هَاوَد;هاود;Positive;Median;2.0
29818;هِوَادٌ;هِوَاد;هواد;Positive;Low;1.0
29819;هَوْدٌ;هَوْد;هود;Neutre;Median;0.0
29820;هَوْدَةٌ;هَوْدَة;هودة;Neutre;Median;0.0
29821;هَوَّادٌ;هَوَّاد;هواد;Negative;High;-3.0
29822;هَوَّدَ;هَوَّد;هود;Negative;High;-3.0
29823;هِيدَةٌ;هِيدَة;هيدة;Neutre;Median;0.0
29824;تَهَوَّرَ;تَهَوَّر;تهور;Negative;High;-3.0
29825;تَهَوُّرٌ;تَهَوُّر;تهور;Negative;Median;-2.0
29826;تَهَوُّرَةٌ;تَهَوُّرَة;تهورة;Negative;Median;-2.0
29827;مُتَهَوَّرٌ;مُتَهَوَّر;متهور;Negative;High;-3.0
29828;مُتَهَوَّرٌ;مُتَهَوَّر;متهور;Negative;High;-3.0
29829;مُتَهَوِّرٌ;مُتَهَوِّر;متهور;Negative;High;-3.0
29830;اسْتِهْوَاءٌ;اسْتِهْوَاء;استهواء;Positive;Median;2.0
29831;اِسْتَهْوَى;اِسْتَهْوَى;استهوى;Positive;High;3.0
29832;مُسْتَهْوٍ;مُسْتَهْو;مستهو;Positive;Median;2.0
29833;مُسْتَهْوًى;مُسْتَهْوى;مستهوى;Positive;Median;2.0
29834;مُسْتَهْوًى;مُسْتَهْوى;مستهوى;Positive;Median;2.0
29835;مُهْتَوًى;مُهْتَوى;مهتوى;Positive;Median;2.0
29836;مُهْوًى;مُهْوى;مهوى;Positive;Median;2.0
29837;هَاوٍ;هَاو;هاو;Positive;Low;1.0
29838;تَهَيَّأَ;تَهَيَّأ;تهيأ;Positive;Median;2.0
29839;تَهَيُّؤٌ;تَهَيُّؤ;تهيؤ;Positive;High;3.0
29840;تَهَيُّؤَةٌ;تَهَيُّؤَة;تهيؤة;Positive;Low;1.0
29841;مُتَهَيَّأٌ;مُتَهَيَّأ;متهيأ;Positive;Median;2.0
29842;مُتَهَيَّأٌ;مُتَهَيَّأ;متهيأ;Positive;Median;2.0
29843;مُتَهَيِّئٌ;مُتَهَيِّئ;متهيئ;Positive;High;3.0
29844;اِهْتَابَ;اِهْتَاب;اهتاب;Positive;Median;2.0
29845;اهْتِيَابٌ;اهْتِيَاب;اهتياب;Positive;Median;2.0
29846;اهْتِيَابَةٌ;اهْتِيَابَة;اهتيابة;Positive;Low;1.0
29847;تَهْيِيبٌ;تَهْيِيب;تهييب;Positive;High;3.0
29848;تَهْيِيبَةٌ;تَهْيِيبَة;تهييبة;Positive;Low;1.0
29849;مُهْتَابٌ;مُهْتَاب;مهتاب;Positive;Median;2.0
29850;مُهْتَابٌ;مُهْتَاب;مهتاب;Positive;Low;1.0
29851;مُهْتَابٌ;مُهْتَاب;مهتاب;Positive;Low;1.0
29852;مُهَيَّبٌ;مُهَيَّب;مهيب;Positive;Median;2.0
29853;مُهَيَّبٌ;مُهَيَّب;مهيب;Positive;Median;2.0
29854;مُهَيِّبٌ;مُهَيِّب;مهيب;Positive;High;3.0
29855;هَابَ;هَاب;هاب;Positive;Low;1.0
29856;هَيَّبَ;هَيَّب;هيب;Positive;High;3.0
29857;أَهَاجَ;أَهَاج;أهاج;Positive;Median;2.0
29858;إِهَاجَةٌ;إِهَاجَة;إهاجة;Neutre;Median;0.0
29859;إِهَاجَةٌ;إِهَاجَة;إهاجة;Neutre;Median;0.0
29860;إِهْيَاجٌ;إِهْيَاج;إهياج;Positive;Median;2.0
29861;إِهْيَاجَةٌ;إِهْيَاجَة;إهياجة;Neutre;Median;0.0
29862;أَهْيَجَ;أَهْيَج;أهيج;Negative;Median;-2.0
29863;اِهْتَاجَ;اِهْتَاج;اهتاج;Negative;Low;-1.0
29864;اهْتِيَاجٌ;اهْتِيَاج;اهتياج;Positive;Median;2.0
29865;اهْتِيَاجَةٌ;اهْتِيَاجَة;اهتياجة;Neutre;Median;0.0
29866;تَهَايَجَ;تَهَايَج;تهايج;Neutre;Median;0.0
29867;تَهَايُجٌ;تَهَايُج;تهايج;Positive;Median;2.0
29868;تَهَايُجَةٌ;تَهَايُجَة;تهايجة;Neutre;Median;0.0
29869;تَهْيِيجٌ;تَهْيِيج;تهييج;Neutre;Median;0.0
29870;تَهْيِيجَةٌ;تَهْيِيجَة;تهييجة;Neutre;Median;0.0
29871;مُتَهَايَجٌ;مُتَهَايَج;متهايج;Neutre;Median;0.0
29872;مُتَهَايَجٌ;مُتَهَايَج;متهايج;Neutre;Median;0.0
29873;مُتَهَايِجٌ;مُتَهَايِج;متهايج;Negative;Median;-2.0
29874;مُهَاجٌ;مُهَاج;مهاج;Neutre;Median;0.0
29875;مُهَاجٌ;مُهَاج;مهاج;Neutre;Median;0.0
29876;مُهَايَجٌ;مُهَايَج;مهايج;Negative;Median;-2.0
29877;مُهَايَجٌ;مُهَايَج;مهايج;Negative;Median;-2.0
29878;مُهَايِجٌ;مُهَايِج;مهايج;Positive;High;3.0
29879;مُهَايَجَةٌ;مُهَايَجَة;مهايجة;Neutre;Median;0.0
29880;مُهَايَجَةٌ;مُهَايَجَة;مهايجة;Neutre;Median;0.0
29881;مُهْتَاجٌ;مُهْتَاج;مهتاج;Negative;Median;-2.0
29882;مُهْتَاجٌ;مُهْتَاج;مهتاج;Negative;Median;-2.0
29883;مُهْتَاجٌ;مُهْتَاج;مهتاج;Negative;Median;-2.0
29884;مِهْيَاجٌ;مِهْيَاج;مهياج;Positive;Low;1.0
29885;مَهِيجٌ;مَهِيج;مهيج;Negative;Low;-1.0
29886;مَهِيجٌ;مَهِيج;مهيج;Neutre;Median;0.0
29887;مُهِيجٌ;مُهِيج;مهيج;Negative;Median;-2.0
29888;مُهْيَجٌ;مُهْيَج;مهيج;Positive;Low;1.0
29889;مُهْيَجٌ;مُهْيَج;مهيج;Positive;Low;1.0
29890;مُهْيِجٌ;مُهْيِج;مهيج;Positive;Low;1.0
29891;مُهَيَّجٌ;مُهَيَّج;مهيج;Positive;High;3.0
29892;مُهَيَّجٌ;مُهَيَّج;مهيج;Positive;High;3.0
29893;مُهَيِّجٌ;مُهَيِّج;مهيج;Positive;Median;2.0
29894;هَائِجٌ;هَائِج;هائج;Neutre;Median;0.0
29895;هَاجَ;هَاج;هاج;Positive;Median;2.0
29896;هَايَجَ;هَايَج;هايج;Negative;Median;-2.0
29897;هِيَاجٌ;هِيَاج;هياج;Neutre;Median;0.0
29898;هَيْجٌ;هَيْج;هيج;Neutre;Median;0.0
29899;هَيَجَانٌ;هَيَجَان;هيجان;Negative;Median;-2.0
29900;هَيْجَةٌ;هَيْجَة;هيجة;Positive;Low;1.0
29901;هِيجَةٌ;هِيجَة;هيجة;Neutre;Median;0.0
29902;هَيُوجٌ;هَيُوج;هيوج;Positive;Median;2.0
29903;هُيُوجٌ;هُيُوج;هيوج;Neutre;Median;0.0
29904;هَيَّاجٌ;هَيَّاج;هياج;Positive;High;3.0
29905;هَيَّجَ;هَيَّج;هيج;Positive;Median;2.0
29906;مُهَيْكَلٌ;مُهَيْكَل;مهيكل;Positive;Median;2.0
29907;مُهَيْكَلٌ;مُهَيْكَل;مهيكل;Positive;Median;2.0
29908;مُهَيْكِلٌ;مُهَيْكِل;مهيكل;Positive;Median;2.0
29909;هَيْكَلَ;هَيْكَل;هيكل;Positive;Median;2.0
29910;هَيْكَلَةٌ;هَيْكَلَة;هيكلة;Neutre;Median;0.0
29911;هَيْكَلَةٌ;هَيْكَلَة;هيكلة;Neutre;Median;0.0
29912;اِسْتَهَامَ;اِسْتَهَام;استهام;Positive;Median;2.0
29913;اسْتِهَامَةٌ;اسْتِهَامَة;استهامة;Positive;Median;2.0
29914;اسْتِهَامَةٌ;اسْتِهَامَة;استهامة;Positive;Low;1.0
29915;اِهْتَامَ;اِهْتَام;اهتام;Negative;Median;-2.0
29916;اهْتِيَامٌ;اهْتِيَام;اهتيام;Negative;Low;-1.0
29917;اهْتِيَامَةٌ;اهْتِيَامَة;اهتيامة;Positive;Low;1.0
29918;تَهْيَامٌ;تَهْيَام;تهيام;Positive;Low;1.0
29919;تَهَيَّمَ;تَهَيَّم;تهيم;Positive;High;3.0
29920;تَهَيُّمٌ;تَهَيُّم;تهيم;Positive;High;3.0
29921;تَهْيِيمٌ;تَهْيِيم;تهييم;Positive;Median;2.0
29922;تَهَيُّمَةٌ;تَهَيُّمَة;تهيمة;Positive;Median;2.0
29923;تَهْيِيمَةٌ;تَهْيِيمَة;تهييمة;Positive;Low;1.0
29924;مُتَهَيَّمٌ;مُتَهَيَّم;متهيم;Positive;Median;2.0
29925;مُتَهَيَّمٌ;مُتَهَيَّم;متهيم;Positive;Median;2.0
29926;مُتَهَيِّمٌ;مُتَهَيِّم;متهيم;Positive;Median;2.0
29927;مُسْتَهَامٌ;مُسْتَهَام;مستهام;Positive;Median;2.0
29928;مُسْتَهَامٌ;مُسْتَهَام;مستهام;Positive;Median;2.0
29929;مُسْتَهِيمٌ;مُسْتَهِيم;مستهيم;Positive;Median;2.0
29930;مُهْتَامٌ;مُهْتَام;مهتام;Positive;Low;1.0
29931;مُهْتَامٌ;مُهْتَام;مهتام;Positive;Low;1.0
29932;مُهْتَامٌ;مُهْتَام;مهتام;Positive;Low;1.0
29933;مَهِيمٌ;مَهِيم;مهيم;Positive;Low;1.0
29934;مَهِيمٌ;مَهِيم;مهيم;Positive;Low;1.0
29935;مُهَيَّمٌ;مُهَيَّم;مهيم;Positive;Median;2.0
29936;مُهَيَّمٌ;مُهَيَّم;مهيم;Positive;Median;2.0
29937;مُهَيِّمٌ;مُهَيِّم;مهيم;Positive;High;3.0
29938;هَائِمٌ;هَائِم;هائم;Positive;High;3.0
29939;هَامَ;هَام;هام;Positive;Low;1.0
29940;هُيَامٌ;هُيَام;هيام;Positive;High;3.0
29941;هِيَامٌ;هِيَام;هيام;Positive;Median;2.0
29942;هَيَمٌ;هَيَم;هيم;Positive;Median;2.0
29943;هَيْمٌ;هَيْم;هيم;Positive;Low;1.0
29944;هَيَمَانٌ;هَيَمَان;هيمان;Positive;High;3.0
29945;هَيْمَانُ;هَيْمَان;هيمان;Positive;High;3.0
29946;هَيْمَةٌ;هَيْمَة;هيمة;Positive;Low;1.0
29947;هِيمَةٌ;هِيمَة;هيمة;Neutre;Median;0.0
29948;هُيُومٌ;هُيُوم;هيوم;Positive;Low;1.0
29949;هَيَّامٌ;هَيَّام;هيام;Positive;Median;2.0
29950;هَيَّمَ;هَيَّم;هيم;Positive;Median;2.0
29951;مُهَيْمَنٌ;مُهَيْمَن;مهيمن;Positive;Median;2.0
29952;مُهَيْمَنٌ;مُهَيْمَن;مهيمن;Positive;Median;2.0
29953;مُهَيْمِنٌ;مُهَيْمِن;مهيمن;Positive;High;3.0
29954;هَيْمَنَ;هَيْمَن;هيمن;Positive;High;3.0
29955;هَيْمَنَةٌ;هَيْمَنَة;هيمنة;Negative;High;-3.0
29956;هَيْمَنَةٌ;هَيْمَنَة;هيمنة;Negative;High;-3.0
29957;مُهَيْنَمٌ;مُهَيْنَم;مهينم;Negative;Low;-1.0
29958;مُهَيْنَمٌ;مُهَيْنَم;مهينم;Negative;Low;-1.0
29959;مُهَيْنِمٌ;مُهَيْنِم;مهينم;Negative;Median;-2.0
29960;هَيْنَمَ;هَيْنَم;هينم;Negative;Low;-1.0
29961;هَيْنَمَةٌ;هَيْنَمَة;هينمة;Negative;Low;-1.0
29962;هَيْنَمَةٌ;هَيْنَمَة;هينمة;Negative;Low;-1.0
29963;مُهَايَهٌ;مُهَايَه;مهايه;Neutre;Median;0.0
29964;مُهَايَهٌ;مُهَايَه;مهايه;Neutre;Median;0.0
29965;مُهَايِهٌ;مُهَايِه;مهايه;Neutre;Median;0.0
29966;مُهَايَهَةٌ;مُهَايَهَة;مهايهة;Neutre;Median;0.0
29967;مُهَايَهَةٌ;مُهَايَهَة;مهايهة;Neutre;Median;0.0
29968;هَايَهَ;هَايَه;هايه;Neutre;Median;0.0
29969;هِيَاهٌ;هِيَاه;هياه;Neutre;Median;0.0
29970;أَوْأَمَ;أَوْأَم;أوأم;Positive;Low;1.0
29971;إِيئَامٌ;إِيئَام;إيئام;Positive;Median;2.0
29972;إِيئَامَةٌ;إِيئَامَة;إيئامة;Neutre;Median;0.0
29973;تَوْئِيمٌ;تَوْئِيم;توئيم;Positive;Low;1.0
29974;تَوْئِيمَةٌ;تَوْئِيمَة;توئيمة;Neutre;Median;0.0
29975;تَوَاءَمَ;تَوَاءَم;تواءم;Positive;High;3.0
29976;تَوَاؤُمٌ;تَوَاؤُم;تواؤم;Positive;High;3.0
29977;تَوَاؤُمَةٌ;تَوَاؤُمَة;تواؤمة;Neutre;Median;0.0
29978;مُتَوَاءَمٌ;مُتَوَاءَم;متواءم;Positive;Median;2.0
29979;مُتَوَاءَمٌ;مُتَوَاءَم;متواءم;Positive;Median;2.0
29980;مُتَوَائِمٌ;مُتَوَائِم;متوائم;Positive;High;3.0
29981;مُوَأَّمٌ;مُوَأَّم;موأم;Neutre;Median;0.0
29982;مُوَأَّمٌ;مُوَأَّم;موأم;Neutre;Median;0.0
29983;مُوَئِّمٌ;مُوَئِّم;موئم;Neutre;Median;0.0
29984;مَوْأَمٌ;مَوْأَم;موأم;Neutre;Median;0.0
29985;مُوأَمٌ;مُوأَم;موأم;Neutre;Median;0.0
29986;مُوأَمٌ;مُوأَم;موأم;Neutre;Median;0.0
29987;مَوْئِمٌ;مَوْئِم;موئم;Neutre;Median;0.0
29988;مُوئِمٌ;مُوئِم;موئم;Positive;Median;2.0
29989;مَوْءُومٌ;مَوْءُوم;موءوم;Neutre;Median;0.0
29990;مُوَاءَمٌ;مُوَاءَم;مواءم;Positive;Median;2.0
29991;مُوَاءَمٌ;مُوَاءَم;مواءم;Positive;Median;2.0
29992;مُوَائِمٌ;مُوَائِم;موائم;Positive;Median;2.0
29993;مُوَاءَمَةٌ;مُوَاءَمَة;مواءمة;Positive;Median;2.0
29994;مُوَاءَمَةٌ;مُوَاءَمَة;مواءمة;Positive;Median;2.0
29995;وَآَّمٌ;وَآَّم;وآم;Positive;High;3.0
29996;وَأَّمَ;وَأَّم;وأم;Neutre;Median;0.0
29997;وِئَامٌ;وِئَام;وئام;Positive;Median;2.0
29998;وَأَمَ;وَأَم;وأم;Neutre;Median;0.0
29999;وَأْمٌ;وَأْم;وأم;Positive;Low;1.0
30000;وَأْمَةٌ;وَأْمَة;وأمة;Positive;Low;1.0
30001;وِئْمَةٌ;وِئْمَة;وئمة;Neutre;Median;0.0
30002;وَاءَمَ;وَاءَم;واءم;Positive;Median;2.0
30003;وَائِمٌ;وَائِم;وائم;Neutre;Median;0.0
30004;أَوْبَشَ;أَوْبَش;أوبش;Positive;Median;2.0
30005;إِيبَاشٌ;إِيبَاش;إيباش;Neutre;Median;0.0
30006;إِيبَاشَةٌ;إِيبَاشَة;إيباشة;Neutre;Median;0.0
30007;تَوْبِيشٌ;تَوْبِيش;توبيش;Neutre;Median;0.0
30008;تَوْبِيشَةٌ;تَوْبِيشَة;توبيشة;Neutre;Median;0.0
30009;مُوَبَّشٌ;مُوَبَّش;موبش;Neutre;Median;0.0
30010;مُوَبَّشٌ;مُوَبَّش;موبش;Neutre;Median;0.0
30011;مُوَبِّشٌ;مُوَبِّش;موبش;Neutre;Median;0.0
30012;مَوْبَشٌ;مَوْبَش;موبش;Neutre;Median;0.0
30013;مُوبَشٌ;مُوبَش;موبش;Neutre;Median;0.0
30014;مُوبَشٌ;مُوبَش;موبش;Neutre;Median;0.0
30015;مُوبِشٌ;مُوبِش;موبش;Neutre;Median;0.0
30016;مَوْبُوشٌ;مَوْبُوش;موبوش;Positive;Low;1.0
30017;وَابِشٌ;وَابِش;وابش;Neutre;Median;0.0
30018;وَبَّاشٌ;وَبَّاش;وباش;Negative;High;-3.0
30019;وَبَّشَ;وَبَّش;وبش;Positive;Low;1.0
30020;وَبَشٌ;وَبَش;وبش;Neutre;Median;0.0
30021;وَبِشَ;وَبِش;وبش;Positive;Low;1.0
30022;وَبْشٌ;وَبْش;وبش;Neutre;Median;0.0
30023;وَبْشَةٌ;وَبْشَة;وبشة;Neutre;Median;0.0
30024;وِبْشَةٌ;وِبْشَة;وبشة;Neutre;Median;0.0
30025;أَوْتَرَ;أَوْتَر;أوتر;Positive;Median;2.0
30026;إِيتَارٌ;إِيتَار;إيتار;Neutre;Median;0.0
30027;إِيتَارَةٌ;إِيتَارَة;إيتارة;Neutre;Median;0.0
30028;تِرَةٌ;تِرَة;ترة;Neutre;Median;0.0
30029;تَوَاتَرَ;تَوَاتَر;تواتر;Positive;Median;2.0
30030;تَوَاتُرٌ;تَوَاتُر;تواتر;Positive;Median;2.0
30031;تَوَاتُرَةٌ;تَوَاتُرَة;تواترة;Neutre;Median;0.0
30032;تَوَتَّرَ;تَوَتَّر;توتر;Negative;High;-3.0
30033;تَوَتُّرٌ;تَوَتُّر;توتر;Negative;Median;-2.0
30034;تَوَتُّرَةٌ;تَوَتُّرَة;توترة;Negative;Low;-1.0
30035;تَوْتِيرٌ;تَوْتِير;توتير;Neutre;Median;0.0
30036;تَوْتِيرَةٌ;تَوْتِيرَة;توتيرة;Neutre;Median;0.0
30037;مُتَوَاتَرٌ;مُتَوَاتَر;متواتر;Positive;Median;2.0
30038;مُتَوَاتَرٌ;مُتَوَاتَر;متواتر;Positive;Median;2.0
30039;مُتَوَاتِرٌ;مُتَوَاتِر;متواتر;Positive;High;3.0
30040;مُتَوَتَّرٌ;مُتَوَتَّر;متوتر;Negative;Low;-1.0
30041;مُتَوَتَّرٌ;مُتَوَتَّر;متوتر;Negative;Median;-2.0
30042;مُتَوَتِّرٌ;مُتَوَتِّر;متوتر;Negative;High;-3.0
30043;مُوَاتَرٌ;مُوَاتَر;مواتر;Positive;Median;2.0
30044;مُوَاتَرٌ;مُوَاتَر;مواتر;Positive;Median;2.0
30045;مُوَاتِرٌ;مُوَاتِر;مواتر;Positive;Low;1.0
30046;مُوَاتَرَةٌ;مُوَاتَرَة;مواترة;Positive;Low;1.0
30047;مُوَاتَرَةٌ;مُوَاتَرَة;مواترة;Positive;Low;1.0
30048;مُوَتَّرٌ;مُوَتَّر;موتر;Positive;High;3.0
30049;مُوَتَّرٌ;مُوَتَّر;موتر;Positive;High;3.0
30050;مُوَتِّرٌ;مُوَتِّر;موتر;Positive;Median;2.0
30051;مَوْتِرٌ;مَوْتِر;موتر;Neutre;Median;0.0
30052;مُوتَرٌ;مُوتَر;موتر;Positive;Low;1.0
30053;مُوتَرٌ;مُوتَر;موتر;Positive;Low;1.0
30054;مُوتِرٌ;مُوتِر;موتر;Positive;Low;1.0
30055;مَوْتُورٌ;مَوْتُور;موتور;Positive;Low;1.0
30056;وَاتَرَ;وَاتَر;واتر;Positive;High;3.0
30057;وَاتِرٌ;وَاتِر;واتر;Positive;Median;2.0
30058;وِتَارٌ;وِتَار;وتار;Neutre;Median;0.0
30059;وَتَّارٌ;وَتَّار;وتار;Positive;High;3.0
30060;وَتَّرَ;وَتَّر;وتر;Positive;Low;1.0
30061;وَتَرَ;وَتَر;وتر;Positive;Low;1.0
30062;وَتْرٌ;وَتْر;وتر;Neutre;Median;0.0
30063;وَتْرَةٌ;وَتْرَة;وترة;Neutre;Median;0.0
30064;وِتْرَةٌ;وِتْرَة;وترة;Neutre;Median;0.0
30065;أَوْثَقَ;أَوْثَق;أوثق;Positive;Median;2.0
30066;تَوَاثَقَ;تَوَاثَق;تواثق;Positive;Low;1.0
30067;تَوَاثُقٌ;تَوَاثُق;تواثق;Positive;Median;2.0
30068;تَوَاثُقَةٌ;تَوَاثُقَة;تواثقة;Positive;Low;1.0
30069;تَوْثِيقٌ;تَوْثِيق;توثيق;Positive;High;3.0
30070;تَوْثِيقَةٌ;تَوْثِيقَة;توثيقة;Positive;Low;1.0
30071;مُتَوَاثَقٌ;مُتَوَاثَق;متواثق;Positive;Median;2.0
30072;مُتَوَاثَقٌ;مُتَوَاثَق;متواثق;Positive;Median;2.0
30073;مُتَوَاثِقٌ;مُتَوَاثِق;متواثق;Positive;High;3.0
30074;مُوَاثَقٌ;مُوَاثَق;مواثق;Positive;Median;2.0
30075;مُوَاثَقٌ;مُوَاثَق;مواثق;Positive;Median;2.0
30076;مُوَاثِقٌ;مُوَاثِق;مواثق;Positive;High;3.0
30077;مُوَاثَقَةٌ;مُوَاثَقَة;مواثقة;Positive;Median;2.0
30078;مُوَاثَقَةٌ;مُوَاثَقَة;مواثقة;Positive;Median;2.0
30079;مُوَثَّقٌ;مُوَثَّق;موثق;Positive;High;3.0
30080;مُوَثَّقٌ;مُوَثَّق;موثق;Positive;High;3.0
30081;مُوَثِّقٌ;مُوَثِّق;موثق;Positive;High;3.0
30082;وَاثَقَ;وَاثَق;واثق;Positive;Median;2.0
30083;وِثَاقٌ;وِثَاق;وثاق;Positive;High;3.0
30084;وَثَّقَ;وَثَّق;وثق;Positive;Median;2.0
30085;اِسْتَوْجَبَ;اِسْتَوْجَب;استوجب;Positive;Median;2.0
30086;اسْتِيجَابٌ;اسْتِيجَاب;استيجاب;Positive;Median;2.0
30087;اسْتِيجَابَةٌ;اسْتِيجَابَة;استيجابة;Positive;Median;2.0
30088;تَوَاجَبَ;تَوَاجَب;تواجب;Positive;Low;1.0
30089;تَوَاجُبٌ;تَوَاجُب;تواجب;Positive;Median;2.0
30090;تَوَاجُبَةٌ;تَوَاجُبَة;تواجبة;Positive;Low;1.0
30091;تَوْجِيبٌ;تَوْجِيب;توجيب;Positive;Low;1.0
30092;تَوْجِيبَةٌ;تَوْجِيبَة;توجيبة;Positive;Low;1.0
30093;مُتَوَاجَبٌ;مُتَوَاجَب;متواجب;Positive;Low;1.0
30094;مُتَوَاجَبٌ;مُتَوَاجَب;متواجب;Positive;Low;1.0
30095;مُتَوَاجِبٌ;مُتَوَاجِب;متواجب;Positive;Median;2.0
30096;مُسْتَوْجَبٌ;مُسْتَوْجَب;مستوجب;Positive;Low;1.0
30097;مُسْتَوْجَبٌ;مُسْتَوْجَب;مستوجب;Positive;Low;1.0
30098;مُسْتَوْجِبٌ;مُسْتَوْجِب;مستوجب;Positive;Low;1.0
30099;مُوَاجَبٌ;مُوَاجَب;مواجب;Positive;Median;2.0
30100;مُوَاجَبٌ;مُوَاجَب;مواجب;Positive;Median;2.0
30101;مُوَاجِبٌ;مُوَاجِب;مواجب;Positive;Median;2.0
30102;مُوَاجَبَةٌ;مُوَاجَبَة;مواجبة;Positive;Low;1.0
30103;مُوَاجَبَةٌ;مُوَاجَبَة;مواجبة;Positive;Low;1.0
30104;مَوْجِبٌ;مَوْجِب;موجب;Positive;Low;1.0
30105;مُوَجَّبٌ;مُوَجَّب;موجب;Positive;High;3.0
30106;مُوَجَّبٌ;مُوَجَّب;موجب;Positive;High;3.0
30107;مُوَجِّبٌ;مُوَجِّب;موجب;Positive;High;3.0
30108;وَاجَبَ;وَاجَب;واجب;Positive;Median;2.0
30109;وِجَابٌ;وِجَاب;وجاب;Neutre;Median;0.0
30110;وَجُبَ;وَجُب;وجب;Positive;Median;2.0
30111;وَجَبَانٌ;وَجَبَان;وجبان;Negative;Median;-2.0
30112;وَجْبَةٌ;وَجْبَة;وجبة;Neutre;Median;0.0
30113;وَجَّبَ;وَجَّب;وجب;Positive;High;3.0
30114;وُجُوبٌ;وُجُوب;وجوب;Positive;High;3.0
30115;وُجُوبَةٌ;وُجُوبَة;وجوبة;Positive;Low;1.0
30116;وَجِيبٌ;وَجِيب;وجيب;Neutre;Median;0.0
30117;أَوْجَدَ;أَوْجَد;أوجد;Positive;High;3.0
30118;وَاجِدٌ;وَاجِد;واجد;Positive;High;3.0
30119;وَجِدَ;وَجِد;وجد;Positive;Median;2.0
30120;مَوْجَلٌ;مَوْجَل;موجل;Negative;Median;-2.0
30121;مَوْجُولٌ;مَوْجُول;موجول;Negative;Median;-2.0
30122;وَاجِلٌ;وَاجِل;واجل;Negative;Median;-2.0
30123;وَجَالَةٌ;وَجَالَة;وجالة;Negative;Median;-2.0
30124;وَجَّالٌ;وَجَّال;وجال;Negative;High;-3.0
30125;وَجِلٌ;وَجِل;وجل;Negative;High;-3.0
30126;وَجِلَ;وَجِل;وجل;Negative;Median;-2.0
30127;وَجْلَةٌ;وَجْلَة;وجلة;Negative;Low;-1.0
30128;وِجْلَةٌ;وِجْلَة;وجلة;Negative;Low;-1.0
30129;أَوْجَهَ;أَوْجَه;أوجه;Positive;High;3.0
30130;إِيجَاهٌ;إِيجَاه;إيجاه;Neutre;Median;0.0
30131;إِيجَاهَةٌ;إِيجَاهَة;إيجاهة;Positive;Low;1.0
30132;اتِّجَاهٌ;اتِّجَاه;اتجاه;Neutre;Median;0.0
